Job Title,Company,Location,Experience Required,Job URL,Posted Date,Source,Description,Priority Score,Days Since Posted,Freshness,Salary,Deadline,Days Until Deadline,Skills Match %,Ready to Apply,Applied,Applied Date,Application Method,Application Error,Status,Notes
Software Engineers | $50-$150/hr,HelixRecruit,Remote,,https://justremote.coremote-developer-jobs/software-engineers-100-200-hr-helixrecruit,,JustRemote,,45,None,Unknown,$50-150,,,0.0,Yes,No,,,,Not Applied,
Software Engineers | $50-$150/hr,HelixRecruit,Remote,,https://justremote.co,,JustRemote,,45,None,Unknown,$50-150,,,0.0,Yes,No,,,,Not Applied,
Principal Software Development Engineer,Expedia,,,https://careers.expediagroup.com/job/principal-software-development-engineer/austin-TX/R-101767/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Manager, Software Development Engineering",Expedia,,,https://careers.expediagroup.com/job/senior-manager-software-development-engineering/austin-TX/R-100214/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Senior Software Development Engineer - Data Platform,Expedia,,,https://careers.expediagroup.com/job/senior-software-development-engineer-data-platform/austin-TX/R-102411/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Software Development Engineer III,Expedia,,,https://careers.expediagroup.com/job/software-development-engineer-iii/austin-TX/R-101667/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Software Development Engineer II,Expedia,,,https://careers.expediagroup.com/job/software-development-engineer-ii/austin-TX/R-101673/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Software Development Engineer II,Expedia,,,https://careers.expediagroup.com/job/software-development-engineer-ii/austin-TX/R-102514/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Manager, Software Development Engineering - Search & Recommendations Platform",Expedia,,,https://careers.expediagroup.com/job/senior-manager-software-development-engineering-search-amp-recommendations-platform/austin-TX/R-101647/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Software Development Engineer III - Expedia Global Payments,Expedia,,,https://careers.expediagroup.com/job/software-development-engineer-iii-expedia-global-payments/austin-TX/R-99459/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Backend Engineer, Guest & Host",Airbnb,,,https://careers.airbnb.com/positions/7620339/,,Airbnb,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Senior Financial Analyst - Multiple RolesRemote - Americas,Shopify,Remote - Americas,,https://www.shopify.com/careers/senior-financial-analyst-multiple-roles_40ef1cb0-5c56-4963-84fe-946708e5d74a,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"AGC, PartnershipsRemote - Americas",Shopify,Remote - Americas,,https://www.shopify.com/careers/agc-partnerships_5de9add2-829e-4307-8d9e-20ee3353d237,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Product Partnerships Manager, Shipping & LogisticsRemote - Americas",Shopify,Remote - Americas,,https://www.shopify.com/careers/senior-product-partnerships-manager-shipping-logistics_a49fc193-1aca-4a52-8cde-3bc591fb1109,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Senior Data Engineer,Exadel,Remote,,https://remoteOK.com/remote-jobs/remote-senior-data-engineer-exadel-1130396,,RemoteOK,"<div><h3>Why Join Exadel&nbsp;</h3>
<p>Weâre an AI-first global tech company with 25+ years of engineering leadership, 2,000+ team members, and 500+ active projects powering Fortune 500 clients, including HBO, Microsoft, Google, and Starbucks.</p>
<p>From AI platforms to digital transformation, we partner with enterprise leaders to build whatâs next.<br>What powers it all? Our people are ambitious, collaborative, and constantly evolving.</p>
<h3>About the Client &nbsp;</h3>
<p>A U.S.-based e...",25,None,Unknown,,,,3.6,Yes,No,,,,Not Applied,
Full Stack Software Engineer,Cala Health,Remote,,https://remoteOK.com/remote-jobs/remote-full-stack-software-engineer-cala-health-1130372,,RemoteOK,"<div><p><span style=""font-size: 18pt;"">About Cala</span></p>
<p>At Cala, we're working to free people from the burden of chronic disease. We began by creating the first non-invasive prescription therapy for hand tremor. After years of careful fine-tuning and improvements, we released Cala kIQ â our most sophisticated therapy yet. Our products have empowered thousands of people to get back to their lives with confidence and ease.</p>
<p>But we won't stop there. Our pioneering technology can be ...",20,None,Unknown,$125k-160k,,,0.0,Yes,No,,,,Not Applied,
Lead Data Scientist,Grab,,,https://grab.careers/en/jobs/744000110167931/lead-data-scientist/,,Grab,,0,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Software Engineer, Backend",Grab,,,https://grab.careers/en/jobs/744000110120445/senior-software-engineer-backend/,,Grab,,0,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Software Engineer, Mobile (iOS) - Consumer Experience",Grab,,,https://grab.careers/en/jobs/744000110105715/senior-software-engineer-mobile-ios-consumer-experience/,,Grab,,0,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
