Job Title,Company,Location,Experience Required,Job URL,Posted Date,Source,Description,Priority Score,Days Since Posted,Freshness,Salary,Deadline,Days Until Deadline,Skills Match %,Ready to Apply,Applied,Applied Date,Application Method,Application Error,Status,Notes
Software Engineers | $50-$150/hr,HelixRecruit,Remote,,https://justremote.coremote-developer-jobs/software-engineers-100-200-hr-helixrecruit,,JustRemote,,45,None,Unknown,$50-150,,,0.0,Yes,No,,,,Not Applied,
Software Engineers | $50-$150/hr,HelixRecruit,Remote,,https://justremote.co,,JustRemote,,45,None,Unknown,$50-150,,,0.0,Yes,No,,,,Not Applied,
"Développeur(-euse) de logiciels III, Connectivité des partenaires / Software Developer III, Partner Connectivity",Expedia,,,https://careers.expediagroup.com/job/d-veloppeur-euse-de-logiciels-iii-connectivit-des-partenaires-software-developer-iii-partner-connectivity/montreal-Quebec/R-99482/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Manager, Software Development Engineering - Packages Shopping",Expedia,,,https://careers.expediagroup.com/job/senior-manager-software-development-engineering-packages-shopping/chicago-IL/R-101686/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Software Development Engineer, Advertising Technology",Expedia,,,https://careers.expediagroup.com/job/senior-software-development-engineer-advertising-technology/chicago-IL/R-101285/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Software Development Engineer II,Expedia,,,https://careers.expediagroup.com/job/software-development-engineer-ii/austin-TX/R-102466/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Manager, Software Development Engineering - Vacation Rental Differentiators",Expedia,,,https://careers.expediagroup.com/job/senior-manager-software-development-engineering-vacation-rental-differentiators/austin-TX/R-101709/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Salesforce Software Development Engineer II,Expedia,,,https://careers.expediagroup.com/job/salesforce-software-development-engineer-ii/austin-TX/R-98381/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Salesforce Software Development Engineer II,Expedia,,,https://careers.expediagroup.com/job/salesforce-software-development-engineer-ii/seattle-WA/R-98381-1/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Android Engineer III, Design System",Expedia,,,https://careers.expediagroup.com/job/android-engineer-iii-design-system/austin-TX/R-99606/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Senior Financial Analyst - Multiple RolesRemote - Americas,Shopify,Remote - Americas,,https://www.shopify.com/careers/senior-financial-analyst-multiple-roles_40ef1cb0-5c56-4963-84fe-946708e5d74a,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"AGC, PartnershipsRemote - Americas",Shopify,Remote - Americas,,https://www.shopify.com/careers/agc-partnerships_5de9add2-829e-4307-8d9e-20ee3353d237,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Product Partnerships Manager, Shipping & LogisticsRemote - Americas",Shopify,Remote - Americas,,https://www.shopify.com/careers/senior-product-partnerships-manager-shipping-logistics_a49fc193-1aca-4a52-8cde-3bc591fb1109,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Staff+ Software Engineer Observability,Anthropic,Remote,,https://remoteOK.com/remote-jobs/remote-staff-software-engineer-observability-anthropic-1130240,,RemoteOK,"<div><h2><strong>About Anthropic</strong></h2>
<p>Anthropic's mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems.</p></div><div><h2 class=""heading""><strong>About the Role</strong></h2>
<p>Anthropic is seeking talented and experienced Software...",25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Senior Software Engineer Web,BitMEX,Remote,,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-web-bitmex-1130197,,RemoteOK,"<p style=""text-align: justify;""><span style=""font-size: 10pt; font-family: helvetica, arial, sans-serif;""><strong>About BitMEX</strong></span></p><p style=""text-align: justify;""><span style=""font-size: 10pt; font-family: helvetica, arial, sans-serif;"">BitMEX stands as a globally leading exchange for crypto derivatives, offering traders a professional-grade trading platform. Since its inception in 2014, BitMEX has maintained an impeccable security record with ""no coin lost, ever!"".</span></p><p s...",25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Senior Software Engineer I Puppet,Perforce,Remote,,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-i-puppet-perforce-1130251,,RemoteOK,"<p>Perforce is a community of collaborative experts, problem solvers, and possibility seekers who believe work should be both challenging and fun. We are proud to inspire creativity, foster belonging, support collaboration, and encourage wellness. At Perforce, youâll work with and learn from some of the best and brightest in business. Before you know it, youâll be in the middle of a rewarding career at a company headed in one direction: upward.&nbsp;&nbsp;</p><p>â¯&nbsp;</p><p>With aâ¯glob...",20,None,Unknown,$120k-134k,,,7.2,Yes,No,,,,Not Applied,
