Job Title,Company,Location,Experience Required,Job URL,Posted Date,Source,Description,Priority Score,Days Since Posted,Freshness,Salary,Deadline,Days Until Deadline,Skills Match %,Ready to Apply,Applied,Applied Date,Application Method,Application Error,Status,Notes
Analytics Engineer,Stripe,,,https://stripe.com/jobs/listing/analytics-engineer/7863844,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Android Engineer, Terminal",Stripe,,,https://stripe.com/jobs/listing/android-engineer-terminal/7543559,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Android Engineer, Terminal Developer Productivity",Stripe,,,https://stripe.com/jobs/listing/android-engineer-terminal-developer-productivity/7550154,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Android Engineer, Terminal Global Payments",Stripe,,,https://stripe.com/jobs/listing/android-engineer-terminal-global-payments/7778627,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Android Engineer, Terminal OS Platform",Stripe,,,https://stripe.com/jobs/listing/android-engineer-terminal-os-platform/7557403,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Backend Engineer, AI Security",Stripe,,,https://stripe.com/jobs/listing/backend-engineer-ai-security/7826765,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Backend Engineer, Core Tech, Canada",Stripe,,,https://stripe.com/jobs/listing/backend-engineer-core-tech-canada/6567253,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Backend Engineer, Core Technology",Stripe,,,https://stripe.com/jobs/listing/backend-engineer-core-technology/6042172,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Backend Engineer, Data",Stripe,,,https://stripe.com/jobs/listing/backend-engineer-data/7913700,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Backend Engineer, Developer Experience & Product Platform",Stripe,,,https://stripe.com/jobs/listing/backend-engineer-developer-experience-product-platform/7292520,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Backend Engineer, Expansion",Stripe,,,https://stripe.com/jobs/listing/backend-engineer-expansion/7775622,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Backend Engineer, Forward Deployed Engineering",Stripe,,,https://stripe.com/jobs/listing/backend-engineer-forward-deployed-engineering/7249744,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Backend Engineer, Privy",Stripe,,,https://stripe.com/jobs/listing/backend-engineer-privy/7235875,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Backend Engineer/API, Payments and Risk",Stripe,,,https://stripe.com/jobs/listing/backend-engineer-api-payments-and-risk/4921361,,Stripe,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
iOS Engineer III - Package Shopping,Expedia,,,https://careers.expediagroup.com/job/ios-engineer-iii-package-shopping/chicago-il/R-102528/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
